symbol,set,direction,entry_time,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,initial_rr,exit_price,exit_time,pnl,reason
BTC/USDT,Set 2,LONG,1594958400000,9119.81,9123.0019335,0.09352757649696046,0.6399391959130046,9012.889662976993,9153.0,9780.0,10370.0,11.692724086073504,10366.3705,1595865600000,115.56209258479399,TP3
BTC/USDT,Set 3,LONG,1568412000000,10288.0,10291.6008,0.04346333679041126,0.3354804837621495,10057.921024512638,10347.07,10592.5,13147.08,12.426515695072903,10437.13898455628,1568638800000,5.98535046612408,SL
BTC/USDT,Set 3,LONG,1596168000000,10977.08,10980.921978,0.05284809032868257,0.4352405674391698,10786.725846385458,11342.82,9279.54,9780.0,6.288699128804031,9776.577000000001,1596171600000,-64.03483725254017,TP3
BTC/USDT,Set 3,LONG,1680210000000,28149.8,28159.652430000002,0.020402467863903904,0.4308948028213339,27688.11540404968,28710.15,28194.4,24000.0,8.988387389139906,23991.600000000002,1680213600000,-85.40567164414429,TP3
BTC/USDT,Set 3,LONG,1690185600000,29828.0,29838.439800000004,0.06388917329014134,1.429764938317238,29693.93270855461,30099.58,31130.0,31804.2,14.740358954778868,30312.15443637301,1690192800000,28.812772627624064,SL
BTC/USDT,Set 3,LONG,1692133200000,29199.0,29209.219650000003,0.2512787539412479,5.50474223793616,29163.7659183154,29499.26,29460.73,30350.0,32.66723425072402,29466.040995496955,1692165600000,58.98060513329112,SL
BTC/USDT,Set 3,LONG,1709305200000,61948.3,61969.98190500001,0.00444151825785723,0.20643060455260476,59822.139159256454,61749.0,52065.78,48969.48,6.104345330460099,48952.340682,1709308800000,-57.98115820236741,TP3
BTC/USDT,Set 3,SHORT,1523455200000,6944.89,6942.4592885,0.1426133122653337,0.7425653358001627,7015.00968126366,6702.0,6430.0,7726.53,11.147226939907535,7729.234285500001,1523458800000,-113.03130710676548,TP3
BTC/USDT,Set 3,SHORT,1537347600000,6346.64,6344.418676,0.13374760213900136,0.6364130886606734,6412.956605210718,6327.0,6192.37,6784.81,6.607244122459741,6787.184683500001,1537351200000,-59.89971906930365,TP3
BTC/USDT,Set 3,SHORT,1626573600000,32213.05,32201.7754325,0.02734028630146233,0.6603043198049594,32515.55925857338,32665.14,32286.57,34600.36,7.89169234442095,34612.470126,1626577200000,-66.61881923784026,TP3
BTC/USDT,Set 3,SHORT,1669147200000,16168.38,16162.721067,0.03159241665025777,0.38296456361292214,16409.08654771511,16049.87,16614.61,18910.94,11.39379059703011,18917.558829,1669150800000,-87.48022093136632,TP3
BTC/USDT,Set 3,SHORT,1723950000000,60126.0,60104.9559,0.06397217931979947,2.8837837626325795,60231.19728119477,57647.05,54558.62,56542.47,34.064853761430975,60252.27820024319,1723953600000,-12.31538076805208,SL
BTC/USDT,Set 3,SHORT,1770397200000,69954.01,69929.52609649999,0.002788862855157046,0.1462678933569481,72322.91298016992,81871.37,87304.33,86806.5,7.114048207576308,86836.88227500001,1770400800000,-47.33392974170448,TP3
BTC/USDT,Set 4,LONG,1507526100000,4581.1,4582.703385000001,0.32914503453122673,1.1312805479266461,4550.718256540792,4480.0,4388.54,4373.0,6.8495081685948405,4371.4694500000005,1507527000000,-70.60573642704631,TP3
BTC/USDT,Set 4,LONG,1509515100000,6400.0,6402.240000000001,0.09503467804946009,0.4563261128965316,6302.2047233022395,6473.88,5980.0,5788.91,6.248665790768133,5786.8838815,1509516000000,-58.89263659235396,TP3
BTC/USDT,Set 4,LONG,1550824200000,3962.6,3963.98691,0.19831192562523736,0.5895794079565009,3918.704423663071,3965.37,4016.48,3670.0,6.665819757191288,3668.7155000000002,1550825100000,-59.101504425711056,TP3
BTC/USDT,Set 4,LONG,1557045000000,5760.51,5762.5261785,0.17246869419960223,0.7453915239726893,5713.463773650316,5830.67,5830.0,5422.0,7.1952636006113,5420.1023000000005,1557045900000,-59.75849766224016,TP3
BTC/USDT,Set 4,LONG,1568514600000,10308.12,10311.727842000002,0.23350015526749518,1.8058425391373651,10275.92980192362,10339.14,10347.07,10592.5,8.834366266564055,10272.333226492947,1568521800000,-10.997592390109846,SL
BTC/USDT,Set 4,LONG,1573113600000,9258.95,9262.190632500002,2.427305778677535,16.86162663411014,9255.898699092597,9391.75,9375.0,9225.0,11.126401829994036,9221.77125,1573114500000,-114.89824469640807,TP3
BTC/USDT,Set 4,LONG,1577584800000,7289.4,7291.95129,0.2587532360687566,1.4151119951574334,7265.216890358045,7360.0,7435.0,7436.68,6.090201061011964,7434.0771620000005,1577648700000,35.332835666954765,TP3
BTC/USDT,Set 4,LONG,1591467300000,9619.95,9623.316982500002,0.19284774356133694,1.3918762242379645,9585.670178454522,9666.59,9755.82,10190.0,16.629316440393975,9589.651306082482,1591519500000,-7.879356694523457,SL
