trade_id,symbol,set,direction,entry_ts,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,planned_rr,exit_ts,exit_price,fill_exit,exit_reason,exit_fee,net_pnl,trailing_phase
BTC/USDT_Set 3_1,BTC/USDT,Set 3,LONG,1690185600,29828.0,29838.439800000004,0.7458940873787503,16.692236867570088,29693.93270855461,30099.58,31804.2,31804.2,14.740358954778868,1690192800,30322.767404964747,30312.15443637301,SL,16.957242577351636,319.69146693047827,1
BTC/USDT_Set 4_1,BTC/USDT,Set 4,SHORT,1504783800,4625.35,4623.7311275,3.391556370721823,11.761233571483068,4654.834988326677,4557.89,3603.0,4335.26,9.83856587582694,1504789200,4447.05177777726,4448.608245899482,SL,11.315779227919517,570.8621119519969,1
BTC/USDT_Set 4_2,BTC/USDT,Set 4,SHORT,1514566800,14596.0,14590.8914,0.3957973334047749,4.331276931088998,14863.077648578834,14204.99,13190.0,11640.0,11.06794228468532,1514920500,14837.478386379402,14842.671503814636,SL,4.4060173513596546,-108.39118797665871,4
BTC/USDT_Set 4_3,BTC/USDT,Set 4,SHORT,1535058900,6470.12,6467.855458,12.174609020419723,59.05770855130331,6478.7136812479375,6325.0,6389.35,6228.0,28.17418903663727,1535059800,6478.7136812479375,6480.981231036375,SL,59.17755941740978,-278.03642277734605,1
BTC/USDT_Set 4_4,BTC/USDT,Set 4,LONG,1591467300,9619.95,9623.316982500002,2.9709706883060716,21.442944509464155,9585.670178454522,9666.59,9755.82,10190.0,16.629316440393975,1591519500,9585.670178454522,9582.315193892064,SL,21.351583175372426,-164.60963980714388,2
BTC/USDT_Set 4_5,BTC/USDT,Set 4,SHORT,1599927300,10361.93,10358.3033245,3.0978623103021667,24.06644810073464,10394.274319591188,10269.25,10267.67,10070.83,9.00003474116398,1599934500,10290.605956129977,10294.207668214623,SL,23.917528462339227,150.57554129747808,1
BTC/USDT_Set 4_6,BTC/USDT,Set 4,SHORT,1642319100,43227.97,43212.840210500006,0.3499161690773444,11.34065362605719,43518.62248483674,42925.88,42777.0,39650.0,12.310130436386062,1642691700,43414.8452103511,43430.040406174725,SL,11.3976550213522,-98.74016904075665,4
BTC/USDT_Set 4_7,BTC/USDT,Set 4,LONG,1664586900,19389.08,19395.866178000004,0.7039916869656315,10.240896413107395,19246.01495505524,19768.19,20185.0,20385.86,6.967320356868944,1664623800,19481.29622731937,19474.47777363981,SL,10.28240284547954,34.81861057094031,1
BTC/USDT_Set 4_8,BTC/USDT,Set 4,SHORT,1711203300,64548.0,64525.408200000005,0.6189040485346434,29.95127727624786,64711.29637636314,63536.3,63000.0,62022.0,15.46880620536634,1711204200,63733.9542854208,63756.2611694207,SL,29.594256117889916,416.48267774979297,1
BTC/USDT_Set 4_9,BTC/USDT,Set 4,LONG,1768259700,91160.07,91191.9760245,0.21142135481002045,14.45994833917702,90662.34537178428,91441.34,92519.95,94444.44,6.598769306984048,1768336200,94444.44,94411.38444600001,TP3,14.97043710679726,651.2213047143459,2
